Etymon pt-PT	Etymon pt-PT Note	Headword	Transliteration	Headword Hindi	Part of Speech	Pronunciation	Sense (Wiktionary)	Gender
martelo		مارتول	mārtol	मारतौल	noun		1. hammer 2. screwdriver, turnscrew	m.
mastro		مستول	mastaul 	मस्तूल	noun			m.
mês			ماس کَبار	मास-कबार				
mestiço			مَستِیسا	मस्तीसा				
mestre		مِستری	mistri	मिस्त्री	noun			m.
outubro	October	اَکْتُوبَر	aktūbar	अक्तूबर	noun	(Standard Urdu) IPA(key): /ək.t̪uː.bəɾ/	October	m.
padre		پادری	pādrī	पादरी	noun	(Standard Urdu) IPA(key): /pɑːd̪.ɾiː/	(Christianity) clergyman; Christian priest  Synonym: ⁧فادر⁩ (fādar) &  (Christianity, historical) a missionary; Jesuit	m.
pão				पाव-रोटी				
papaia		پپیتا	papitā	पपीता	noun			m. 
peru		پیرو	pīrū	पीरू	noun	(Standard Urdu) IPA(key): /piː.ɾuː/	turkey	m. 
pipa		پیپا‎	pīpā	पीपा	noun		cask barrel canister	m. 
pires		پرچ	pirič	पिरिच	noun		saucer	m.
pistola		پسطول	pistūl	मार्तोल	noun			m.
polícia		پولس	pulis	पुलिस	noun	(Standard Urdu) IPA(key): /puː.lɪs/	police	m.
pompa		بمبہ	bamba	बंबा	noun	(Standard Urdu) IPA(key): /bəm.bᵊ/	1. pump; water pump 2. channel, narrow river, creek	m.
prato		پرات	parāt	परात	noun			f.
querubim		کَرُوبِیم		करूबीम	noun			
recibo		رسید	rasīd	रसीद	noun	(Standard Urdu) IPA(key): /ɾə.siːd̪/	1. (law) bill, invoice  2. receipt (ie. confirmation)  3. clue, address, knowledge 4. response (to a question or statement/action) 	
sabão		صابن	sābun	साबुन	noun	(Standard Urdu) IPA(key): /sɑː.bʊn/	1. soap 2. washing powder (ie. for a washing machine etc.)	m.
sagu		ساگو	sāgū	सागू	noun			m.
saia		سايہ	 sā'yah	साया	noun		petticoat, underskirt	m.
setembro	September	ستمبر	sitambar	सितंबर	noun		September	m.
sorte		شرط	šart	शर्ती	noun	(Standard Urdu) IPA(key): /ʃəɾt̪/	1. condition, term 2. wager, bet 3. provision, wage	f.
tabaco		تنباکو	tanbâku	तंबाकू	noun			m.
tambor		تنپورا	tanpūrā	तंबूरा	noun			
toalha		تَولِیَہ⁩	tauliya	तौलिया	noun	(Standard Urdu) IPA(key): /t̪ɔː.lɪ.jə/, /t̪oː.lɪ.jə/	towel	m.
toronja		ترنج	tunaj	तुरंज	noun			m.
tufão		طوفان	tūfān	तूफ़ान	noun	(Standard Urdu) IPA(key): /t̪uː.fɑːn/	storm & flood & deluge &  inundation & typhoon & hurricane	m.
varanda	varanda; w. P. bar āmada 'come forth'	 بَرَامْدَا‎	barāmdā	बरामदा	noun			m.
verruma		برما	baramā	बरमा	noun	(Standard Urdu) IPA(key): /bəɾ.mɑː/	(tool) drill, borer	m.
