Etymon pt-PT	Etymon pt-PT Note	Headword	Transliteration	Urdu 	Part of Speech	Pronunciation	Gender	Sense (Wiktionary)	Definition	Notes	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural
janela		जंगला	jaṅglā	جَن٘گْلا⁩	noun	(Delhi Hindi) IPA(key): /d͡ʒəŋ.ɡlɑː/, [d͡ʒɐ̃ŋ.ɡläː]	m.	fencing, railing & grille-fitted window					masc ā-stem	जंगला	जंगले	जंगले	जंगले	जंगलों	जंगलो
leilão	leilão: ← A. (al) a'lām	नीलाम	nīlāma	 ⁧نیلام⁩	noun	(Delhi Hindi) IPA(key): /niː.lɑːm/, [niː.lä̃ːm]	m. & adv.	auction (a public event where goods are sold through bidding)	1. m. an auction. 2. adv. by auction; at auction. — ~ करना, or कराना, to sell by auction. ~ ख़रीदना, to buy at auction. ~ पर चढ़ना				masc cons-stem	नीलाम	नीलाम	नीलाम	नीलाम	नीलामों	नीलामो
martelo		मारतौल	mārataula	مارتول	noun	(Delhi Hindi) IPA(key): /mɑːɾ.t̪ɔːl/, [mäːɾ.t̪ɔːl]	m.	a heavy hammer, hammer 	obs. a heavy hammer.	alternative मार्तोल (mārtol), मारतोल (mārtol)			masc cons-stem	मारतौल	मारतौल	मारतौल	मारतौल	मारतौलों	मारतौलो
martelo		मार्तोल	mārtol		noun		m	hammer											
masto		मस्तूल	mastūla		noun		m.	mast	mast										
mestre		मिस्तरी	mistarī		noun		m.	skilled tradesman	a skilled tradesman; mechanic. — मिस्तरी-ख़ाना, m. workshop.	alternative spelling मिस्त्री									
mestre		मिस्त्री	mistrī	 ⁧مِسْتْری⁩	noun	(Delhi Hindi) IPA(key): /mɪs.t̪ɾiː/	m.	mechanic & artisan, craftsman	a skilled tradesman; mechanic. — मिस्तरी-ख़ाना, m. workshop.	alternative spelling मिस्तरी			masc ī-stem	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्रियों	मिस्त्रियो
outubro	October	अक्तूबर	aktūbara	اَکْتُوبَر⁩	noun	(Delhi Hindi) IPA(key): /ək.t̪uː.bəɾ/, [ɐk.t̪uː.bɐɾ]	m.	October	October	English?		month							
padre		पादरी	pādarī	پادْری⁩	noun	(Delhi Hindi) IPA(key): /pɑːd̪.ɾiː/, [päːd̪.ɾiː]	m.	Christian priest or minister; chaplain.	1. Christian priest or minister; chaplain. 2. missionary.		religion		masc ī-stem	पादरी	पादरी	पादरी	पादरी	पादरियों	पादरियो
pipa		पीपा	pīpā	پیپا	noun	(Delhi Hindi) IPA(key): /piː.pɑː/, [piː.päː]	m.	cylinder, barrel, cask	1. a cask, barrel. 2. cylinder (of gas). 3. engin. a pontoon.			object	masc ā-stem	पीपा	पीपे	पीपे	पीपे	पीपों	पीपो
pistola		पिस्तौल	pistaula	پسطول	noun	(Delhi Hindi) IPA(key): /pɪs.t̪ɔːl/	f.	pistol, gun	a pistol; revolver.			object	fem cons-stem	पिस्तौल	पिस्तौल	पिस्तौल	पिस्तौलें	पिस्तौलों	पिस्तौलो
pompa		बंबा	bambā	بمبہ⁩	noun	(Delhi Hindi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	pump; water pump & channel, narrow river, creek	1. a pump. 2. reg. (W.). a water-channel.				masc ā-stem	बंबा	बंबे	बंबे	बंबे	बंबों	बंबो
saia		साया	sāyā	سایہ⁩	noun	(Delhi Hindi) IPA(key): /sɑː.jɑː/, [säː.jäː]	m.	petticoat	petticoat, undershirt.			clothing	masc ā-stem	साया	साए, साये	साए, साये	साए, साये	सायों	सायो
salsaparrilha		सालसा	sālasā		noun	(Delhi Hindi) IPA(key): /sɑːl.sɑː/, [säːl.säː]	m.	Indian sarsparilla	Indian sarsparilla, Hemidesmus indicus (= अनंत-मूल).		botany								
setembro	September	सितंबर	sitambara				m.	September	September			month							
toalha	Towel	तौलिया	tauliyā	تَولِیَہ⁩	noun	(Delhi Hindi) IPA(key): /t̪ɔː.lɪ.jɑː/, [t̪ɔː.li.jäː]	m.	towel					masc ā-stem	तौलिया	तौलिए, तौलिये	तौलिए, तौलिये	तौलिए, तौलिये	तौलियों	तौलियो
varanda	varanda; w. P. bar āmada 'come forth'	बरामदा	barāmadā	برامدا	noun	(Delhi Hindi) IPA(key): /bə.ɾɑːm.d̪ɑː/, [bɐ.ɾä̃ːm.d̪äː]	m.	verandah	verandah; balcony.				masc ā-stem	बरामदा	बरामदे	बरामदे	बरामदे	बरामदों	बरामदो
