Lemma	Part_of_Speech	Gender	Singular and Plural	Source	Lemma (Dalgado)	Definition
cordão	noun	masculine	cordão, cordões	https://en.wiktionary.org/wiki/cord%C3%A3o	Cordão	silk rope, twist, or braid
coronel	noun	masculine	coronel, coronéis	http://kaiko.getalp.org/dbnary/por/coronel__Substantivo__1	Coronel	colonel
couve	noun	masculine	couve, couves	http://kaiko.getalp.org/dbnary/por/couve__Substantivo__1	Couve	cabbage
cristão	noun	masculine	cristão, cristãos		Cristão	A Christian
cruz	noun	masculine	cruz, cruzes	http://kaiko.getalp.org/dbnary/por/cruz__Substantivo__1	Cruz	a cross
cunha	noun	feminine	cunha, cunhas	http://kaiko.getalp.org/dbnary/por/cunha__Substantivo__1	Cunha	wedge
cunha	noun	feminine	cunha, cunhas	http://kaiko.getalp.org/dbnary/por/cunha__Substantivo__1	Cunha	wedge
cunha	noun	feminine	cunha, cunhas	http://kaiko.getalp.org/dbnary/por/cunha__Substantivo__1	Cunha	wedge
cunha	noun	feminine	cunha, cunhas	http://kaiko.getalp.org/dbnary/por/cunha__Substantivo__1	Cunha	wedge
da Silva	proper noun			https://en.wiktionary.org/wiki/da_Silva		a surname
dezembro	noun	masculine	dezembro, dezembro	http://kaiko.getalp.org/dbnary/por/dezembro__Substantivo__1		December
espada	noun	feminine	espada, espadas	http://kaiko.getalp.org/dbnary/por/espada__Substantivo__1	Espada	a sword
estábulo	noun	masculine	estábulo, estábulos	http://kaiko.getalp.org/dbnary/por/estábulo__Substantivo__1		 stable
estirar	verb	—		http://kaiko.getalp.org/dbnary/por/estirar__verbo__1	Estirar	to extend : to stretch out
estirar	verb	—		http://kaiko.getalp.org/dbnary/por/estirar__verbo__1	Estirar	to extend : to stretch out
falto	adjective		falto, faltos	http://kaiko.getalp.org/dbnary/por/falto__Adjetivo__1	Falto	deficient, wanting
falto	adjective			http://kaiko.getalp.org/dbnary/por/falto__Adjetivo__1	Falto	deficient, wanting
falto	adjective			http://kaiko.getalp.org/dbnary/por/falto__Adjetivo__1	Falto	deficient, wanting
falto	adjective			http://kaiko.getalp.org/dbnary/por/falto__Adjetivo__1	Falto	deficient, wanting
fita	noun	feminine	fita, fitas	http://kaiko.getalp.org/dbnary/por/fita__Substantivo__1	Fita	ribbon
fita	noun	feminine	fita, fitas	http://kaiko.getalp.org/dbnary/por/fita__Substantivo__1	Fita	ribbon
forma	noun	feminine	forma, formas	http://kaiko.getalp.org/dbnary/por/forma__Substantivo__1	Forma	in the sense of ‘mould, appearance’
forma	noun	feminine	forma, formas	http://kaiko.getalp.org/dbnary/por/forma__Substantivo__1	Forma	in the sense of ‘mould, appearance’
forma	noun	feminine	forma, formas	http://kaiko.getalp.org/dbnary/por/forma__Substantivo__1	Forma	in the sense of ‘mould, appearance’
forma	noun	feminine	forma, formas	http://kaiko.getalp.org/dbnary/por/forma__Substantivo__1	Forma	in the sense of ‘mould, appearance’
forma	noun	feminine	forma, formas	http://kaiko.getalp.org/dbnary/por/forma__Substantivo__1	Forma	in the sense of ‘mould, appearance’
fulano	noun	masculine	fulano, fulanos			such a one
gentio	adjective			http://kaiko.getalp.org/dbnary/por/gentio__Adjetivo__1		gentile, a heathen ; applied by the Portuguese in India to the Hindus in contradistinction to the Jfowos or ‘ Moors i.e., Mohammedans.
gentio	adjective			http://kaiko.getalp.org/dbnary/por/gentio__Adjetivo__1		gentile, a heathen ; applied by the Portuguese in India to the Hindus in contradistinction to the Jfowos or ‘ Moors i.e., Mohammedans.
gentio	adjective			http://kaiko.getalp.org/dbnary/por/gentio__Adjetivo__1		gentile, a heathen ; applied by the Portuguese in India to the Hindus in contradistinction to the Jfowos or ‘ Moors i.e., Mohammedans.
gentio	adjective			http://kaiko.getalp.org/dbnary/por/gentio__Adjetivo__1		gentile, a heathen ; applied by the Portuguese in India to the Hindus in contradistinction to the Jfowos or ‘ Moors i.e., Mohammedans.
