Etymon pt-PT	Etymon pt-PT Note	Headword	Transliteration	Part of Speech	Pronunciation	Gender	Sense (Wiktionary)	Definition	Example	Source	Wiktionary (Hindi)	Notes	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural
fita		फ़ीता	fītā	noun	(Delhi Hindi) IPA(key): /fiː.t̪ɑː/, [fiː.t̪äː], /pʰiː.t̪ɑː/, [pʰiː.t̪äː]	m.	lace; shoelace	1. lace (as of a shoe). 2. tape. 3. ribbon. — लाल ~, m. red tape.	उसके जूते के फ़ीते खुल गए। uske jūte ke fīte khul gae. His shoelaces became untied.	https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A5%9E%E0%A5%80%E0%A4%A4%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AB%E0%A4%BC%E0%A5%80%E0%A4%A4%E0%A4%BE				masc ā-stem	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो
fita		फ़ीता	fītā	noun	(Delhi Hindi) IPA(key): /fiː.t̪ɑː/, [fiː.t̪äː], /pʰiː.t̪ɑː/, [pʰiː.t̪äː]	m.	tape; tape measure	1. lace (as of a shoe). 2. tape. 3. ribbon. — लाल ~, m. red tape.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A5%9E%E0%A5%80%E0%A4%A4%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AB%E0%A4%BC%E0%A5%80%E0%A4%A4%E0%A4%BE				masc ā-stem	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो
fita		फ़ीता	fītā	noun	(Delhi Hindi) IPA(key): /fiː.t̪ɑː/, [fiː.t̪äː], /pʰiː.t̪ɑː/, [pʰiː.t̪äː]	m.	ribbon	1. lace (as of a shoe). 2. tape. 3. ribbon. — लाल ~, m. red tape.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A5%9E%E0%A5%80%E0%A4%A4%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AB%E0%A4%BC%E0%A5%80%E0%A4%A4%E0%A4%BE				masc ā-stem	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो
gentio		जेंटू	jẽṭū	noun	(Delhi Hindi) IPA(key): /d͡ʒẽː.ʈuː/	m.	Gentoo				https://en.wiktionary.org/wiki/%E0%A4%9C%E0%A5%87%E0%A4%82%E0%A4%9F%E0%A5%82#Hindi				masc ū-stem	जेंटू	जेंटू	जेंटू	जेंटू	जेंटुओं	जेंटुओ
holandês		ओलंदेज़	olandez	noun	(Delhi Hindi) IPA(key): /oː.lən.d̪eːz/, [oː.lɐ̃n̪.d̪eːz], /oː.lən.d̪eːd͡ʒ/, [oː.lɐ̃n̪.d̪eːd͡ʒ]	m or f by sense	(dated) Dutchman; citizen of Holland 		 कमलापति त्रिपाठी [kamlāpti tripāṭhī], बंदी की चेतना [bandī kī cetnā], नागरीप्रचारिणी सभा [nāgrīpracāriṇī sabhā]: भारत में कतिपय विदेशी शक्तियाँ मैदान में उतर पड़ी थीं। पोर्चुगीज, ओलंदेज, फरासीसी, अंग्रेज आदि हजारों मील की यात्रा करके […] bhārat mẽ katipay videśī śaktiyā̃ maidān mẽ utar paṛī thī̃. porcugīj, olandej, pharāsīsī, aṅgrej ādi hajārõ mīl kī yātrā karke […] Many foreign powers had entered the fray in India. The Portuguese, Dutch, French, English, and others travelled thousands of miles […] Declension		https://en.wiktionary.org/wiki/%E0%A4%93%E0%A4%B2%E0%A4%82%E0%A4%A6%E0%A5%87%E0%A4%9C%E0%A4%BC#Hindi										
hospital		अस्पताल	aspatāla	noun	(Delhi Hindi) IPA(key): /əs.pə.t̪ɑːl/, [ɐs.pɐ.t̪äːl]	m.	hospital	hospital		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%85%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A4%A4%E0%A4%BE%E0%A4%B2&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A4%A4%E0%A4%BE%E0%A4%B2#Hindi				masc cons-stem	अस्पताल	अस्पताल	अस्पताल	अस्पताल	अस्पतालों	अस्पतालो
igreja		गिरजा	girajā	noun	(Delhi Hindi) IPA(key): /ɡɪɾ.d͡ʒɑː/, [ɡɪɾ.d͡ʒäː]	m.	church 	a church; chapel. — गिरजा-घर, m. a church.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%97%E0%A4%BF%E0%A4%B0%E0%A4%9C%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%97%E0%A4%BF%E0%A4%B0%E0%A4%9C%E0%A4%BE#Hindi	alternative form: गिर्जा	Christianity	religion	masc ā-stem	गिरजा	गिरजे	गिरजे	गिरजे	गिरजों	गिरजो
igreja		गिरजा	girajā	noun	(Delhi Hindi) IPA(key): /ɡɪɾ.d͡ʒɑː/, [ɡɪɾ.d͡ʒäː]	m.	chapel	a church; chapel. — गिरजा-घर, m. a church.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%97%E0%A4%BF%E0%A4%B0%E0%A4%9C%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%97%E0%A4%BF%E0%A4%B0%E0%A4%9C%E0%A4%BE#Hindi	alternative form: गिर्जा	Christianity	religion	masc ā-stem	गिरजा	गिरजे	गिरजे	गिरजे	गिरजों	गिरजो
inglês	Englishman	अँग्रेज़	am̐grēz	noun		m.		an Englishman		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%85%E0%A4%81%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A5%9B&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%81%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%9C%E0%A4%BC										
inglês	Englishman	अंग्रेज़	aṅgrez	noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m or f by sense 	English person (Englishman or Englishwoman)	an Englishman		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%85%E0%A4%81%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A5%9B&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%81%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%9C%E0%A4%BC										
