hiTenTen21 Relative (1)	Variant	Headword	Transliteration	Etymon pt-PT	Etymology Full (Work here)	Urdu 	Part of Speech	Pronunciation	Gender	Definition	hiTenTen21 Absolute (1)	Headword (Hi)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Alternative Etymology (1)	Domain	ODomain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1		Etymology Old
		तंबूरा	tānpūrā	tambor	fa تنبور ‘tanbur' (Source:  Dasa, McGregor) .	تنپورا	noun	(Delhi) IPA(key): /t̪ɑːn.puː.ɾɑː/, [t̪ä̃ːn.puː.ɾäː]	m.	tanpura	138	तंबूरा		tambor	tambor (Source: Dalgado); Persian tambūra (Source: McGregor)	tambor (Source: Dalgado); Persian tambūra (Source: McGregor)	Persian tambūra (Source: McGregor)											sorte		pt tambor (Source: Dalgado) | pal tmbwl, tnbwl (Source: Wiktionary) > fa تنبور ‘tanbur' (Source:  Dasa, McGregor) .
3,33		तौलिया	tauliyā	toalha	pt toalha (Source: Dalgado) | en towel (Source: Dasa, McGregor, Platts) .	تَولِیَہ⁩	noun	(Delhi Hindi) IPA(key): /t̪ɔː.lɪ.jɑː/, [t̪ɔː.li.jäː]	m.	towel	3,006	तौलिया		toalha	toalha (Source: Dalgado); English towel (Source: McGregor)	toalha (Source: Dalgado); English towel (Source: McGregor)	English towel (Source: McGregor)	household	household	textiles	masc ā-stem	तौलिया	तौलिए, तौलिये	तौलिए, तौलिये	तौलिए, तौलिये	तौलियों	तौलियो	tabaco		pt toalha (Source: Dalgado) | en towel (Source: Dasa, McGregor) .
		तुरंज	turanj	toronja	fa turanj (Source: Dasa, McGregor) .	ترنج	noun		m.	a kind of citron	7	तुरंज		toronja	toronja (Source: Dalgado); Persian turanj (Source: McGregor)	toronja (Source: Dalgado); Persian turanj (Source: McGregor)	Persian turanj (Source: McGregor)											tambor		pt toronja (Source: Dalgado) | fa turanj (Source: Dasa, McGregor) .
		तूफ़ान	tūfān	tufão	ar طوفان (Source: Platts) .	طوفان	noun	(Delhi) IPA(key): /t̪uː.fɑːn/, [t̪uː.fä̃ːn], /t̪uː.pʰɑːn/, [t̪uː.pʰä̃ːn]	m.	storm, tempest & hurricane	3572	तूफ़ान		? tufão	? tufão (Source: Dalgado); Persian طوفان (Source: Wiktionary, McGregor)	? tufão (Source: Dalgado); Persian طوفان (Source: Wiktionary, McGregor)	Persian طوفان (Source: Wiktionary, McGregor)											toalha		pt ? tufão (Source: Dalgado) | ar طوفان (Source: Platts) .
5.03		बरामदा	barāmadā	varanda	pt varanda (Source: Dalgado, McGregor) | fa bar āmada ‘come forth' (Source: Dasa, McGregor) .	برامدا	noun	(Delhi Hindi) IPA(key): /bə.ɾɑːm.d̪ɑː/, [bɐ.ɾä̃ːm.d̪äː]	m.	verandah	4,533	बरामदा		varanda	varanda (Source: Dalgado); Persian bar āmada 'come forth' (Source: McGregor)	varanda (Source: Dalgado); Persian bar āmada 'come forth' (Source: McGregor)	Persian bar āmada 'come forth' (Source: McGregor)	architecture	architecture		masc ā-stem	बरामदा	बरामदे	बरामदे	बरामदे	बरामदों	बरामदो	toronja		pt varanda (Source: Dalgado, McGregor) | fa bar āmada ‘come forth' (Source: Dasa, McGregor) .
		वरमेल्हो	varmelho	vermelho	pt vermelho (Source: Dasa) .		noun		m.	Malay red sandalwood				NA																pt vermelho (Source: Dasa) .
		बरमा	barmā	verruma	pt verruma (Source: Dalgado) .	برما	noun	(Delhi) IPA(key): /bəɾ.mɑː/, [bɐɾ.mäː]	m.	(tool) drill, borer	131	बरमा		verruma	verruma (Source: Dalgado)	verruma (Source: Dalgado)												tufão		pt verruma (Source: Dalgado) .
	आत	अता	atā	ata	pt ata (Source: Dalgado) | sa आ+तृप्य (Source: Platts) . 	اتا	noun		m.	Custard-apple (Anona squamosa), synonymous with सरीफ़ा, सीताफल .																				
		बिलिंबी	bilimbī	bilimbim	ms belimbing (Source: Dasa) .	بلمبی	noun		f.	the fruit of Averrhoa bilimbi		बिलिंबी																		
	बुवयाम	बोयाम	boyam	boião			noun		m.	pot, generally of clay or porcelain		बोयाम																		
		करधनी	kardhani	cordão	sa ? कटि + आधानी 'waist + ornament' (Source: Dasa) | sa कटि+धारणीयं (Source: Platts) .	کردهني	noun		f.	cord of several strands of thread worn around the waist		करधनी																		
