hiTenTen21 Relative (1)	Variant	Headword	Transliteration	Etymon pt-PT	Etymology Full (Work here)	Urdu 	Part of Speech	Pronunciation	Gender	Definition	hiTenTen21 Absolute (1)	Headword (Hi)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Alternative Etymology (1)	Domain	ODomain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1		Etymology Old
		बिस्कुट	biskuṭ	biscoito	pt biscoito (Source: Dalgado) | en biscuit (Source: Dasa) .	بسکٹ	noun	(Delhi) IPA(key): /bɪs.kʊʈ/	m.	biscuit, cookie, cracker	4,128	बिस्कुट		biscoito	biscoito (Source: Dalgado); English biscuit (Source: Wiktionary)	biscoito (Source: Dalgado); English biscuit (Source: Wiktionary)	English biscuit (Source: Wiktionary)	culinary	culinary	food / baked goods								basta		pt biscoito (Source: Dalgado) | en biscuit (Source: Dasa) .
0.17		बंबा	bambā	bomba	pt bomba (Source: McGregor) .	بمبہ	noun	(Delhi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	pump; water pump & channel, narrow river, creek	154	बंबा		bomba	bomba (Source: Dalgado)	bomba (Source: Dalgado)		military	military	weapons, explosives, devices								beringela		pt bomba (Source: Dalgado, McGregor) .
		गुदाम	gudam	botão	sk (Source: Dasa) | pt botão (Source: Dasa) | en button (Source: Dasa) > hi बुताम (Source: Dasa) .		noun		m.	button				NA																sk (Source: Dasa) | pt botão (Source: Dasa) | en button (Source: Dasa) > hi बुताम (Source: Dasa)
		बटन	baṭan	botão	en button (Source: Dasa, Platts) .	بٹن	noun		m.	button (fastener) &  button (presser)	17333	बटन		botão	botão (Source: Dalgado); English button (Source: Dasa)	botão (Source: Dalgado); English button (Source: Dasa)	English button (Source: Dasa)											biscoito		pt botão (Source: Dalgado) | en button (Source: Dasa) .
24.63		बोतल	bōtal	botelha	pt ? botelha (Source: Dalgado, McGregor) | en bottle (Source: Dalgado, Dasa, McGregor, Platts) .	بوتَل	noun	IPA(key): [ˈbo(ː)t̪əl̪]	f.	bottle	22,198	बोतल		? botelha	? botelha (Source: Dalgado); English bottle (Source: Dalgado)	? botelha (Source: Dalgado); English bottle (Source: Dalgado)	English bottle (Source: Dalgado)	objects	objects	drinkware	fem cons-stem	बोतल	बोतल	बोतल	बोतलें	बोतलों	बोतलो	bomba		pt ? botelha (Source: Dalgado, McGregor) | en bottle (Source: Dalgado, Dasa, McGregor) .
7.87		काजू	kājū	caju	pt ? caju (Source: Platts) | kok काज्जु (Source: Dasa) .	کاجو⁩	noun	(Delhi Hindi) IPA(key): /kɑː.d͡ʒuː/, [käː.d͡ʒuː]	m.	cashew nut	7090	काजू		NA				botany	botany	fruits	masc ū-stem	काजू	काजू	काजू	काजू	काजुओं	काजुओ	botão		pt ?caju (Source: Platts) | kok काज्जु (Source: Dasa)
		कलापट्टी	kalāpaṭṭī	calafate	pt calafate (Source: Dalgado, Dasa) | ar (Source: Dalgado) .	کالاپتی	noun		m. and f.	caulker & act of caulking in ships	0	कलापट्टी		calafate	calafate (Source: Dalgado); Arabic (Source: Dalgado)	calafate (Source: Dalgado); Arabic (Source: Dalgado)	Arabic (Source: Dalgado)	nautics	nautics	nautical tools, components and materials								botelha		pt calafate (Source: Dalgado, Dasa) | ar (Source: Dalgado) .
95.94		कमरा	kamarā	câmara	pt câmara (Source: Dalgado, McGregor, Platts) | en camera (Source: Dasa) .	کِران٘چی	noun	(Delhi Hindi) IPA(key): /kəm.ɾɑː/, [kɐ̃m.ɾäː]	m.	room	86,477	कमरा		câmara	câmara (Source: Dalgado)	câmara (Source: Dalgado)		architecture	architecture	buildings	masc ā-stem	कमरा	कमरे	कमरे	कमरे	कमरों	कमरो	caju		pt câmara (Source: Dalgado) .
		क़मीज़	qamīz	camisa	pt camisa (Source: Dalgado) | ar قميص ‘shirt’ & ‘gown’ (Source: Dalgado, Platts) .	قمیض	noun	(Delhi) IPA(key): /qə.miːz/, [qɐ.miːz], /kə.miːd͡ʒ/, [kɐ.miːd͡ʒ]	f.	shirt	2427	क़मीज़		camisa	camisa (Source: Dalgado); Persian قمیص https://en.wiktionary.org/wiki/%D9%82%D9%85%DB%8C%D8%B5#Persian (Source: Wiktionary); Arabic (Source: Dalgado)	camisa (Source: Dalgado); Persian قمیص  (Source: Wiktionary); Arabic (Source: Dalgado)	Persian قمیص https://en.wiktionary.org/wiki/%D9%82%D9%85%DB%8C%D8%B5#Persian (Source: Wiktionary); Arabic (Source: Dalgado)	clothing	clothing	clothing items								calafate		pt camisa (Source: Dalgado) | ar قميص ‘shirt’ & ‘gown’  (Source: Wiktionary) > fa قمیص (Source: Wiktionary) | lat camisia (Source:Wiktionary) > ar قميص ‘shirt’ & ‘gown’ (Source: Dalgado) .
		कंपू	kampū	campo	en camp (Source: McGregor, Platts) .		noun	(Delhi) IPA(key): /kəm.puː/, [kɐ̃m.puː]	m.	encampment & tent & cantonment & camp 	N	कंपू		campo	campo (Source: Dalgado); English camp (Source: McGregor)	campo (Source: Dalgado); English camp (Source: McGregor)	English camp (Source: McGregor)											câmara		pt campo (Source: Dalgado) | en camp (Source: McGregor, Platts) .
		कंडीलिया	kandilya	candil	pt candil (Source: Dasa) | hi कंडील 'lamp' (Source: Dasa) .		noun		m.	lighthouse				NA																pt candil (Source: Dasa) | hi कंडील 'lamp' (Source: Dasa)
		कंदील	kandīl	candil	pt ? candil (Source: Dalgado) | lat candēla ‘a light made of wax or tallow' > grc κανδήλη ‘oil lamp' > ar قنديل  ‘lamp' (Source: Dalgado, Dasa) | pa kandīl [arabicized] (Source: Platts) .	قندیل	noun		f.	a lantern	421	क़ंदील		? candil	? candil (Source: Dalgado); Arabic قنديل https://en.wiktionary.org/wiki/%D9%82%D9%86%D8%AF%D9%8A%D9%84#Arabic (Source: Dalgado)	? candil (Source: Dalgado); Arabic قنديل  (Source: Dalgado)	Arabic قنديل https://en.wiktionary.org/wiki/%D9%82%D9%86%D8%AF%D9%8A%D9%84#Arabic (Source: Dalgado)	objects	objects	domestic items / lighting								camisa		pt ? candil (Source: Dalgado) | lat candēla ‘a light made of wax or tallow' > grc κανδήλη ‘oil lamp' > ar قنديل  ‘lamp' (Source: Dalgado, Dasa)  .
		कप्तान	kaptān	capitão	pt capitão (Source: Dalgado) | en Captain (Source: Dasa, McGregor, Platts) .	کپتان	noun	(Delhi) IPA(key): /kəp.t̪ɑːn/, [kɐp.t̪ä̃ːn]	m.	captain (of a ship)	91962	कप्तान		capitão	capitão (Source: Dalgado); English Captain (Source: Wiktionary)	capitão (Source: Dalgado); English Captain (Source: Wiktionary)	English Captain (Source: Wiktionary)	nautics	nautics	military ranks and titles								campo		pt capitão (Source: Dalgado) | en Captain (Source: Wiktionary) .
		कारबाइन	kaṛābīn	carabina	fa qarābīn (Source: McGregor) | fr carbine (Source: Platts) .	کاربائن	noun		f.	a carbine	94	कारबाइन		? carabina	? carabina (Source: Dalgado); French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	? carabina (Source: Dalgado); French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)											candil		pt ? carabina (Source: Dalgado) | fr carabine (Source: Dalgado) | fa qarābīn (Source: McGregor) .
<0.01		किराँची	kirām̐cī	carraguem	pt carraguem (Source: McGregor) | en carriage (Source: Dasa) .	کِران٘چی	noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	a cart used to carry loads, carriage of goods train & bullock cart	0	किराँची		NA	NA (Source: Dalgado); 						fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो	capitão		pt carraguem (Source: McGregor) | en carriage (Source: Dasa)
		कारतूस	kārtūs	cartucho	pt cartucho (Source: Dasa) | fr cartouche (Source: McGregor) | fa توشدان [corr. of] (Source: Platts) .	کارتوس	noun	(Delhi) IPA(key): /kɑːɾ.t̪uːs/, [käːɾ.t̪uːs]	m.	(firearms) cartridge	6780	कारतूस		? cartucho	? cartucho (Source: Dalgado); French cartouche (Source: McGregor)	? cartucho (Source: Dalgado); French cartouche (Source: McGregor)	French cartouche (Source: McGregor)											carabina		pt ? cartucho (Source: Dalgado) | pt cartucho (Source: Dasa) | fr cartouche (Source: McGregor) .
		तूसदान	tusadan	cartucho	pt cartucho + दान [addition of suffix] (Source: Dasa) | en cartridge (Source: Platts) .		noun	(Standard Hindi) IPA(key): /t̪uːs.d̪ɑːn/, [t̪uːs.d̪ä̃ːn]	m.	cartridge				NA																pt cartucho + दान [addition of suffix] (Source: Dasa)
		काज	kāj	casa (de botão)	pt casa de botão (Source: Dasa) | sa काचः ‘a loop' (Source: Platts) .	کاج	noun	(Delhi) IPA(key): /kɑːd͡ʒ/, [käːd͡ʒ]	m.	a buttonhole		काज		casa	casa (Source: Dalgado); Sanskrit काचः 'a loop' (Source: Platts)	casa (Source: Dalgado); Sanskrit काचः 'a loop' (Source: Platts)	Sanskrit काचः 'a loop' (Source: Platts)											carraguem		pt casa de botão (Source: Dalgado, Dasa) | sa काचः ‘a loop' (Source: Platts) .
		कैथोलिक	kaitholik	católico	pt católico (Source: Dalgado) | en Catholic (Source: Dalgado) .	کیتھولک	noun	(Delhi) IPA(key): /kɛː.t̪ʰoː.lɪk/	m. or f.	Catholic, Roman Catholic	4099	कैथोलिक		católico	católico (Source: Dalgado); English Catholic (Source: Dalgado, Wiktionary)	católico (Source: Dalgado); English Catholic (Source: Dalgado, Wiktionary)	English Catholic (Source: Dalgado, Wiktionary)	religion	religion	practices, beliefs and rituals								cartucho		pt católico (Source: Dalgado) | en Catholic (Source: Dalgado) .
		चाय	cāy	chá	pt chá (Source: Dalgado) | fa cāʾe (Source: McGregor) .	چائے	noun	(Delhi) IPA(key): /t͡ʃɑːj/, [t͡ʃäːj], /t͡ʃɑː.eː/, [t͡ʃäː.eː]	f.	tea (plant, beverage) & cup of tea	64719	चाय		chá	chá (Source: Dalgado); Persian [P. cāʾe] (Source: McGregor)	chá (Source: Dalgado); Persian [P. cāʾe] (Source: McGregor)	Persian [P. cāʾe] (Source: McGregor)	culinary	culinary	drinks								casa		pt chá (Source: Dalgado) | fa cāʾe (Source: McGregor) .
		छापा		chapa	pt ? chapa (Source: Dalgado) | sn चयन (Source: Dasa, Platts) .	چھاپہ	noun			a seal, impression, stamp, or brand	N	छापा		? chapa	? chapa (Source: Dalgado)	? chapa (Source: Dalgado)		materials	materials	construction								católico		pt ? chapa (Source: Dalgado) | sn चयन (Source: Dasa) .
7.86		चाबी	cābī	chave	pt chave (Source: Dalgado, Dasa) .	چابی	noun	(Delhi Hindi) IPA(key): /t͡ʃɑː.biː/, [t͡ʃäː.biː]	f.	key 	7,089	चाबी		chave	chave (Source: Dalgado)	chave (Source: Dalgado)		objects	objects	artifact	fem ī-stem	चाबी	चाबी	चाबी	चाबियाँ	चाबियों	चाबियो	chá		pt chave (Source: Dalgado, Dasa) .
		कोचवान	kochvān	cocheiro	ar (Source: Dasa).	کوچبان	noun		m.	a coachman	196	कोचवान		cocheiro	cocheiro (Source: Dalgado); English coachman (Source: Dalgado)	cocheiro (Source: Dalgado); English coachman (Source: Dalgado)	English coachman (Source: Dalgado)											cifra		pt cocheiro (Source: Dalgado) | en coachman (Source: Dalgado) | ar (Source: Dasa).
		कर्नल	karnal	coronel	pt coronel (Source: Dalgado) | en colonel (Source: Dasa) .	کرنل	noun		m.	colonel	11389	कर्नल		coronel	coronel (Source: Dalgado); English colonel (Source: D, Wiktionary)	coronel (Source: Dalgado); English colonel (Source: D, Wiktionary)	English colonel (Source: D, Wiktionary)	military	military	military ranks and titles								coche		pt coronel (Source: Dalgado) | en colonel (Source: Dasa) .
7.8		गोभी	gobhī	couve	pt couve (Source: Dalgado) | sa गो+जिव्हा? (Source: Platts) | en cabbage (Source: Dasa) .	گوبھی	noun	(Delhi Hindi) IPA(key): /ɡoː.bʱiː/	f.	cabbage & cauliflower	6,775	गोभी		couve	couve (Source: Dalgado); Sanksrit गोजीह्विका (Source: Wiktionary)	couve (Source: Dalgado); Sanksrit गोजीह्विका (Source: Wiktionary)	Sanksrit गोजीह्विका (Source: Wiktionary)	food	food	food / vegetables	fem ī-stem	गोभी	गोभी	गोभी	गोभियाँ	गोभियों	गोभियो	cocheiro		pt couve (Source: Dalgado) | sa गोजीह्विका ‘the uvula' (Source: Wiktionary) .
