Etymon pt-PT	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Headword	Transliteration	Urdu	Part of Speech	Pronunciation	Gender	Definition	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural
beringela		beringela	बैंगन	baiṅgan	بینگن	noun	(Delhi) IPA(key): /bɛːŋ.ɡən/, [bɛ̃ːŋ.ɡɐ̃n]	m.	eggplant, aubergine, brinjal									
biscoito		biscoito	बिस्कुट	biskuṭ	بسکٹ	noun	(Delhi) IPA(key): /bɪs.kʊʈ/	m.	biscuit, cookie, cracker	culinary	food / baked goods							
bomba		bomba	बंबा	bambā	بمبہ	noun	(Delhi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	1. pump; water pump 2. channel, narrow river, creek	military	weapons, explosives, devices							
botão		botão	बटन	baṭan	بٹن	noun		m.	1. button (fastener) 2. button (presser)									
botelha		? botelha	बोतल	bōtal	بوتَل	noun	IPA(key): [ˈbo(ː)t̪əl̪]	f.	bottle	objects	drinkware	fem cons-stem	बोतल	बोतल	बोतल	बोतलें	बोतलों	बोतलो
caju		NA	काजू	kājū	کاجو⁩	noun	(Delhi Hindi) IPA(key): /kɑː.d͡ʒuː/, [käː.d͡ʒuː]	m.	cashew nut	botany	fruits	masc ū-stem	काजू	काजू	काजू	काजू	काजुओं	काजुओ
calafate		calafate	कलापट्टी	kalāpaṭṭā		noun		m.	caulker	nautics	nautical tools, components and materials							
câmara		câmara	कमरा	kamarā	کِران٘چی	noun	(Delhi Hindi) IPA(key): /kəm.ɾɑː/, [kɐ̃m.ɾäː]	m.	room	architecture	buildings	masc ā-stem	कमरा	कमरे	कमरे	कमरे	कमरों	कमरो
camisa		camisa	क़मीज़	qamīz	قمیض	noun	(Delhi) IPA(key): /qə.miːz/, [qɐ.miːz], /kə.miːd͡ʒ/, [kɐ.miːd͡ʒ]	f.	shirt	clothing	clothing items							
campo		campo	कंपू	kampū		noun	(Delhi) IPA(key): /kəm.puː/, [kɐ̃m.puː]	m.	1. encampment 2. tent 3. cantonment 4. camp 									
candil		? candil	कंदील	kandīl	قندیل	noun		f.	a lantern	objects	domestic items / lighting							
capitão		capitão	कप्तान	kaptān	کپتان	noun	(Delhi) IPA(key): /kəp.t̪ɑːn/, [kɐp.t̪ä̃ːn]	m.	captain (of a ship)	nautics	military ranks and titles							
carabina		? carabina	कारबाइन	kaṛābīn	کاربائن	noun		f.	a carbine									
carraguem		NA	किराँची	kirām̐cī	کِران٘چی	noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	1. a cart used to carry loads, carriage of goods train 2. bullock cart			fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो
cartucho		? cartucho	कारतूस	kārtūs	کارتوس	noun	(Delhi) IPA(key): /kɑːɾ.t̪uːs/, [käːɾ.t̪uːs]	m.	(firearms) cartridge									
casa		casa	काज	kāj	کاج	noun	(Delhi) IPA(key): /kɑːd͡ʒ/, [käːd͡ʒ]	m.	a buttonhole									
católico		católico	कैथोलिक	kaitholik	کیتھولک	noun	(Delhi) IPA(key): /kɛː.t̪ʰoː.lɪk/	m. or f.	Catholic, Roman Catholic	religion	practices, beliefs and rituals							
chá		chá	चाय	cāy	چائے	noun	(Delhi) IPA(key): /t͡ʃɑːj/, [t͡ʃäːj], /t͡ʃɑː.eː/, [t͡ʃäː.eː]	f.	1. tea (plant, beverage) 2. cup of tea	culinary	drinks							
chapa		? chapa	छापा		چھاپہ	noun				materials	construction							
chave		chave	चाबी	cābī	چابی	noun	(Delhi Hindi) IPA(key): /t͡ʃɑː.biː/, [t͡ʃäː.biː]	f.	key 	objects	artifact	fem ī-stem	चाबी	चाबी	चाबी	चाबियाँ	चाबियों	चाबियो
cifra		? cifra				noun				commerce and business	financial transactions							
coche		? coche				noun				transportation	historical vehicles							
cocheiro		cocheiro	कोचवान	kochvān	کوچبان	noun		m.	a coachman									
coronel		coronel	कर्नल	karnal	کرنل	noun		m.	colonel	military	military ranks and titles							
couve		couve	गोभी	gobhī	گوبھی	noun	(Delhi Hindi) IPA(key): /ɡoː.bʱiː/	f.	1. cabbage 2. cauliflower	food	food / vegetables	fem ī-stem	गोभी	गोभी	गोभी	गोभियाँ	गोभियों	गोभियो
cristão		NA	क्रिस्तान	kristāna	کِرسٹان	noun	(Delhi Hindi) IPA(key): /kɾɪs.t̪ɑːn/, [kɾɪs.t̪ä̃ːn]	m. or f.	christian	religion	practices, beliefs and rituals							
cruz		cruz	क्रूस	krūsa	⁧کْرُوس⁩	noun	(Delhi Hindi) IPA(key): /kɾuːs/	m.	1. the cross on which Jesus Christ was crucified 2. crucifix, cross	religion	practices, beliefs and rituals	masc cons-stem	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो
cunha		cunha	कुनिया			noun												
da Silva			डीसिल्वा	ḍīsilvā	⁧ڈی سلوا⁩	proper noun	(Delhi Hindi) IPA(key): /ɖiː.sɪl.ʋɑː/, [ɖiː.sɪl.ʋäː]		a surname from Portuguese, equivalent to English D'Silva or Desilva									
dezembro		NA	दिसंबर	disambara	دسمبر⁩ 	noun	(Delhi Hindi) IPA(key): /d̪ɪ.səm.bəɾ/, [d̪ɪ.sɐ̃m.bɐɾ]	m.	December	calendar	month	masc cons-stem	दिसंबर	दिसंबर	दिसंबर	दिसंबर	दिसंबरों	दिसंबरो
