Etymon pt-PT	Etymon pt-PT Note	Etymology Free	Headword	Transliteration	Headword Hindi	Part of Speech	Pronunciation	Sense (Wiktionary)	Gender	Headword (Ur)	urTenTen18	urTenTen18 Relative	Domain	OD
chapa		? chapa (Source: Dalgado)	چھاپہ		छापा					چھاپہ	N			
chave		chave (Source: Dalgado)	چابی	cābī	चाबी	noun	(Standard Urdu) IPA(key): /t͡ʃɑː.biː/	key (object for opening and closing a lock)	f.	چابی	1,799	6.58		
chave		chave (Source: Dalgado)	چابھی	cābhī	चाभी	noun	(Standard Urdu) IPA(key): /t͡ʃɑː.bʱiː/	key (object for opening and closing a lock)	f.	چابی	7.52			
cocheiro		cocheiro (Source: Dalgado); English coachman (Source: Dalgado)	کوچبان	kochavān	कोचवान	noun			m.	کوچبان	3	0.01	objects	objects
coronel		coronel (Source: Dalgado); English colonel (Source: D, Wiktionary)	کرنل	karnal	कर्नल	noun			m.	کرنل	6,681	24.45	objects	objects
couve		couve (Source: Dalgado); Sanksrit गोजीह्विका (Source: Wiktionary)	گوبھی	gobhī	गोभी	noun	(Standard Urdu) IPA(key): /ɡoː.bʱiː/	cauliflower	f.	گوبھی	744	2.72		
cristão	cristão; × H. musalmān, P. naṣrān		کرستان	kristān	क्रिस्तान	noun			m.	کِرِسْتانی	0			
dezembro	December	English December (Source: McGregor)	دسمبر	disambar	दिसंबर	noun	(Standard Urdu) IPA(key): /d̪ɪ.səm.bəɾ/		m.	دسمبر	26,714	97.77	food	food
espada	steel	espada (Source: Dalgado)	اسپات 	ispāt'	इस्पात	noun	(Standard Urdu) IPA(key): /ɪs.pɑːt̪/	steel	m.	اسپات	7	0.03	religion	religion
estábulo	estábulo; A. ist̤abal: ← L., Gk	estábulo  (Source: McGregor); Arabic ist̤abal (Source: McGregor)	اَصْطَبَل	astabal	अस्तबल	noun	(Standard Urdu) IPA(key): /əs.t̪ə.bəl/	stable, mew, stall	m.	اصطبل	283	1.04	calendar	calendar
estirar		estirar (Source: Dalgado)	استری	istrī	इस्तरी	noun	(Standard Urdu) IPA(key): /ɪs.t̪ɾiː/	iron, clothes iron	f.	استری	515	1.88		
falto		falto (Source: Dalgado)	فالتو	fāltū	फ़ालतू	adj.	(Standard Urdu) IPA(key): /fɑːl.t̪uː/	surplus, spare, extra, additional, useless		فالتو	0	0		
fita		fita (Source: Dalgado)	فيتہ	fītā	फ़ीता	noun			m.		0	0	animalHusbandry	animal husbandry
gudão		gudão (Source: Dalgado); Bengali gudām  (Source: Wiktionary, McGregor)	گودام	godām	गोदाम	noun		warehouse, storeroom, storage, cellar	m.	گودام	1,267	4.64		
hospital		espital (Source: Wiktionary); English hospital (Source: McGregor)	اَسْپَتال	aspatāl	अस्पताल	noun	(Standard Urdu) IPA(key): /əs.pə.t̪ɑːl/	hospital	m.	اسپتال	22,471	82.24		
igreja		igreja (Source: Dalgado)	گِرْجا 	girjā	गिरजा	noun	(Standard Urdu) IPA(key): /ɡɪɾ.d͡ʒɑː/	(Christianity) church & chapel	m.	گرجا	2,028	7.24		
inglês	Englishman	inglês (Source: Dalgado)	اَن٘گْریز	aṅgrez	अँग्रेज़	noun	(Standard Urdu) IPA(key): /əŋ.ɡɾeːz/	Englishman; a Brit & chiefly historical) the British & (colloquial) white person 	m or f	انگریز	6,218	22.76		
jogar		jogar (Source: Dalgado);  Sanskrit द्यूत  (Source: Wiktionary)	جواری	juārī	जुआरी	noun		gambler	m.	جواری	233	0.85	religion	religion
