Etymon pt-PT Note	Etymon pt-PT	Transliteration	Headword	urTenTen18	urTenTen18 Relative	Headword Hindi	Part of Speech	Gender	Pronunciation	Sense (Wiktionary)	Etymology Free	Variant	Headword (Ur)	Domain	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
	mês	mas kabar	ماس کَبار			मास-कबार	noun	m.		last day of a month, monthly statement	pt mês (Source: Dalgado, Fallon) .		ماس کَبار									
	mesa	mez	میز			मेज़	noun	f.		table	pt mesa (Source: Dalgado, Dasa) | fa میز (Source: McGregor) .											
	mestiço	mastisa	مَستِیسا	0	0	मस्तीसा	noun	m. or f.		half-caste	pt mestiço (Source: Dalgado, Platts) .		مَستِیسا									
	mestre	mastri	مستری	33	0.12	मिस्तरी	noun			skilled tradesman	pt mestre (Source: Dalgado, McGregor) .		مِستری									
	mestre	mistri	 ⁧مِسْتْری⁩			मिस्त्री	noun	m.	(Standard Urdu) IPA(key): /mɪs.t̪ɾiː/, /mɪs.t̪ə.ɾiː/	mechanic & artisan, craftsman	pt mestre (Source: Dalgado) .					مِسْترِیو	مِسْترِیو	مِسْترِیو	مِسْترِیو	مِسْترِیوں	مِسْترِیو	
	Moçambique	mausambī	 موسمبی			मुसंबी	noun	f.	(Standard Urdu) IPA(key): /mɔː.səm.biː/	mousambi	pt Moçambique (Source: Dasa)					مَوسَمبی	مَوسَمبی	مَوسَمبی	مَوسَمبِیاں	مَوسَمبِیوں	مَوسَمبِیو	
	outubro	aktūbar	اَکْتُوبَر⁩	22,398	81.97	अक्तूबर	noun	m.	(Standard Urdu) IPA(key): /ək.t̪uː.bəɾ/	October	ine-pro *h₃(e)ḱtéh₃ ‘eight’, *h₃ḱt(e)h₃-uó- ‘eighth’ > itc-pro *oktō ‘eight’, *oktāwo- ‘eighth’ (Source: de Vaan) > la octō + -ber ‘pertaining the eigth (month)’ [analogy with la september ‘september’] (Source: Ernout-Meillet) > pt outubro (Source: Wiktionary) | en October (Source: McGregor) .		اَکْتُوبَر									
	padre	pādrī	پادْری⁩	3,217	11.77	पादरी	noun	m.	(Standard Urdu) IPA(key): /pɑːd̪.ɾiː/	Christian priest or minister; chaplain & christian convert .	pt padre (Source: Dalgado, Fallon, Platts) .		پادری			پادری⁩	پادری⁩	پادری⁩	پادری⁩	پادریو	پادریو	
	pão	paoroti	پاؤ روٹی			पाव-रोटी	noun	f.		loaf of bread	pt pão + hi रोटी  (Source: Dalgado, Dasa) | sa पद् (Source:McGregor) .											
	papaia	papitā	پپیتا	352	1.29	पपीता	noun	m.		papaya	pt papaia (Source: Dalgado)  .		پپیتا									
	peru	pīrū	پیرو	N	N	पीरू	noun	m.	(Standard Urdu) IPA(key): /piː.ɾuː/	turkey	pt peru (Source: Dalgado, Platts) .		پیرو									
	pipa	pīpā	پیپا	N		पीपा	noun	m.		cylinder, barrel, cask	pt pipa (Source: Dalgado, McGregor, Platts) .		پیپا‎									
	pires	pirič	پرچ	38	0.14	पिरिच	noun	m.		saucer  & a flat surface (as used in pressing out indigo)	pt pires (Source: Dalgado) | en press (Source: McGregor) .		پرچ									
	pistola	pistūl	پسطول	0		पिस्तौल	noun	f.		pistol, gun	pt pistola (Source: Dalgado, McGregor, Platts) | en pistol (Source: Dalgado, Platts) .		پسطول									
