Etymon pt-PT	Etymon pt-PT Note	Headword	Transliteration	Headword Hindi	Part of Speech	Pronunciation	Sense (Wiktionary)	Gender	Headword (Ur)	urTenTen18	urTenTen18 Relative
toalha		تَولِیَہ⁩	tauliya	तौलिया	noun	(Standard Urdu) IPA(key): /t̪ɔː.lɪ.jə/, /t̪oː.lɪ.jə/	towel	m.	تولیہ	55	
tambor		تنپورا	tanpūrā	तंबूरा	noun				تنپورا	0	0
tabaco		تنباکو	tanbâku	तंबाकू	noun			m.	تنباکو 	1,619	5.93
toronja		ترنج	tunaj	तुरंज	noun			m.	ترنج	38	0.14
peru		پیرو	pīrū	पीरू	noun	(Standard Urdu) IPA(key): /piː.ɾuː/	turkey	m. 	پیرو	N	N
pipa		پیپا‎	pīpā	पीपा	noun		cask barrel canister	m. 		N	
polícia		پولس	pulis	पुलिस	noun	(Standard Urdu) IPA(key): /puː.lɪs/	police	m.	پولس	8,934	32.7
pistola		پسطول	pistūl	मार्तोल	noun			m.		0	
pires		پرچ	pirič	पिरिच	noun		saucer	m.	پرچ	38	0.14
prato		پرات	parāt	परात	noun			f.	پرات	30	0.11
papaia		پپیتا	papitā	पपीता	noun			m. 	پپیتا	352	1.29
padre		پادری	pādrī	पादरी	noun	(Standard Urdu) IPA(key): /pɑːd̪.ɾiː/	(Christianity) clergyman; Christian priest  Synonym: ⁧فادر⁩ (fādar) &  (Christianity, historical) a missionary; Jesuit	m.	پادری	3,217	11.77
beringela		بینگن	baingan	बैंगन				m.	بینگن	391	1.43
botelha	bottle	بوتَل	botal	बोतल	noun	(Standard Urdu) IPA(key): /boː.t̪əl/	1. bottle  2. (euphemistic) wine bottle	f.	بوتل	3,173	11.61
bafo		بھاپ	bhāp	भाप	noun	(Standard Urdu) IPA(key): /bʱɑːp/	1. hot breath; exhalation  2. steam, water vapour 3. vapour, gas	m.	بھاپ	645	2.36
bomba		بمبہ	bamba	बंबा	noun		1. pump; water pump 2. channel, narrow river, creek	m.	بمبہ	0	
bomba		بمبہ	bomba	बंबा	noun		1. pump; water pump 2. channel, narrow river, creek	m.		0	
pompa		بمبہ	bamba	बंबा	noun	(Standard Urdu) IPA(key): /bəm.bᵊ/	1. pump; water pump 2. channel, narrow river, creek	m.		0	0
biscoito		بسکٹ	biskut	बिस्कुट	noun		biscuit, cookie	m.	بسکٹ	834	3.05
basta		بس	bas	बस	adj.	(Standard Urdu) IPA(key): /bəs/	enough, ample		بس	77,433	283.38
verruma		برما	baramā	बरमा	noun	(Standard Urdu) IPA(key): /bəɾ.mɑː/	(tool) drill, borer	m.	برما	4,930	18.04
baixel		بجرا	bajrā	बजरा	noun			m.	بجرا	35	0.13
botão		بٹن	batan	बटन	noun	(Standard Urdu) IPA(key): /bə.ʈən/	button	m.	بٹن	5,675	20.77
balde	bucket	بالٹی	bālṭī	बालटी	noun		bucket	f.	بالٹی	806	2.95
anis		اَنِیسُون	anīsun	अनीसून					اَنِیسُون	14	0.05
ananás	pineapple	انناس	anannās	अनन्नास	noun		pineapple (fruit)		انناس	309	1.13
inglês	Englishman	اَن٘گْریز	aṅgrez	अँग्रेज़	noun	(Standard Urdu) IPA(key): /əŋ.ɡɾeːz/	1. Englishman; a Brit 2. chiefly historical) the British 3. (colloquial) white person 	m or f	انگریز	6,218	22.76
