Etymon pt-PT	hiTenTen21 Relative (1)	Headword	hiTenTen21 Absolute (1)	Headword (Hi)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Etymology Full (Work here)	Alternative Etymology (1)	Transliteration	Urdu 	Part of Speech	Pronunciation	Gender	Definition	Domain	ODomain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
câmara	95.94	कमरा	86,477	कमरा		câmara	câmara (Source: Dalgado)	câmara (Source: Dalgado)	pt câmara  (Source: Dalgado) .		kamarā	کِران٘چی	noun	(Delhi Hindi) IPA(key): /kəm.ɾɑː/, [kɐ̃m.ɾäː]	m.	room	architecture	architecture	buildings	masc ā-stem	कमरा	कमरे	कमरे	कमरे	कमरों	कमरो	caju
camisa		क़मीज़	2427	क़मीज़		camisa	camisa (Source: Dalgado); Persian قمیص https://en.wiktionary.org/wiki/%D9%82%D9%85%DB%8C%D8%B5#Persian (Source: Wiktionary); Arabic (Source: Dalgado)	camisa (Source: Dalgado); Persian قمیص  (Source: Wiktionary); Arabic (Source: Dalgado)	pt camisa (Source: Dalgado) | ar قميص ‘shirt’ & ‘gown’  (Source:Wiktionary) > fa قمیص (Source: Wiktionary) | lat camisia (Source:Wiktionary) > ar قميص ‘shirt’ & ‘gown’ (Source: Dalgado) .	Persian قمیص https://en.wiktionary.org/wiki/%D9%82%D9%85%DB%8C%D8%B5#Persian (Source: Wiktionary); Arabic (Source: Dalgado)	qamīz	قمیض	noun	(Delhi) IPA(key): /qə.miːz/, [qɐ.miːz], /kə.miːd͡ʒ/, [kɐ.miːd͡ʒ]	f.	shirt	clothing	clothing	clothing items								calafate
querubim		करूबीम	0	करूबीम		querubim	querubim (Source: Dalgado)	querubim (Source: Dalgado)	pt querubim (Source: Dalgado) .			کَرُوبِیم	noun			cherubim											prato
coronel		कर्नल	11389	कर्नल		coronel	coronel (Source: Dalgado); English colonel (Source: D, Wiktionary)	coronel (Source: Dalgado); English colonel (Source: D, Wiktionary)	pt coronel (Source: Dalgado) | en colonel (Source: D, Wiktionary) .	English colonel (Source: D, Wiktionary)	karnal	کرنل	noun		m.	colonel	military	military	military ranks and titles								coche
calafate		कलापट्टी	0	कलापट्टी		calafate	calafate (Source: Dalgado); Arabic (Source: Dalgado)	calafate (Source: Dalgado); Arabic (Source: Dalgado)	pt calafate (Source: Dalgado) | ar (Source: Dalgado) .	Arabic (Source: Dalgado)	kalāpaṭṭā		noun		m.	caulker	nautics	nautics	nautical tools, components and materials								botelha
casa		काज		काज		casa	casa (Source: Dalgado); Sanskrit काचः 'a loop' (Source: Platts)	casa (Source: Dalgado); Sanskrit काचः 'a loop' (Source: Platts)	pt casa (Source: Dalgado) | sa काचः ‘a loop' (Source: Platts) .	Sanskrit काचः 'a loop' (Source: Platts)	kāj	کاج	noun	(Delhi) IPA(key): /kɑːd͡ʒ/, [käːd͡ʒ]	m.	a buttonhole											carraguem
caju	7.87	काजू	7090	काजू		NA					kājū	کاجو⁩	noun	(Delhi Hindi) IPA(key): /kɑː.d͡ʒuː/, [käː.d͡ʒuː]	m.	cashew nut	botany	botany	fruits	masc ū-stem	काजू	काजू	काजू	काजू	काजुओं	काजुओ	botão
cartucho		कारतूस	6780	कारतूस		? cartucho	? cartucho (Source: Dalgado); French cartouche (Source: McGregor)	? cartucho (Source: Dalgado); French cartouche (Source: McGregor)	pt ? cartucho (Source: Dalgado) | French cartouche (Source: McGregor) .	French cartouche (Source: McGregor)	kārtūs	کارتوس	noun	(Delhi) IPA(key): /kɑːɾ.t̪uːs/, [käːɾ.t̪uːs]	m.	(firearms) cartridge											carabina
carabina		कारबाइन	94	कारबाइन		? carabina	? carabina (Source: Dalgado); French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	? carabina (Source: Dalgado); French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	pt ? carabina (Source: Dalgado) | French carabine (Source: Dalgado) | fa qarābīn (Source: McGregor) .	French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	kaṛābīn	کاربائن	noun		f.	a carbine											candil
carraguem	<0.01	किराँची	0	किराँची		NA	NA (Source: Dalgado); 				kirām̐cī	کِران٘چی	noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	a cart used to carry loads, carriage of goods train & bullock cart				fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो	capitão
cunha		कुनिया	24	कुनिया		cunha	cunha (Source: Dalgado)	cunha (Source: Dalgado)	pt cunha (Source: Dalgado) .				noun			wedge											cristão
católico		कैथोलिक	4099	कैथोलिक		católico	católico (Source: Dalgado); English Catholic (Source: Dalgado, Wiktionary)	católico (Source: Dalgado); English Catholic (Source: Dalgado, Wiktionary)	pt católico (Source: Dalgado) | en Catholic (Source: Dalgado, Wiktionary) .	English Catholic (Source: Dalgado, Wiktionary)	kaitholik	کیتھولک	noun	(Delhi) IPA(key): /kɛː.t̪ʰoː.lɪk/	m. or f.	Catholic, Roman Catholic	religion	religion	practices, beliefs and rituals								cartucho
cocheiro		कोचवान	196	कोचवान		cocheiro	cocheiro (Source: Dalgado); English coachman (Source: Dalgado)	cocheiro (Source: Dalgado); English coachman (Source: Dalgado)	pt cocheiro (Source: Dalgado) | en coachman (Source: Dalgado) .	English coachman (Source: Dalgado)	kochvān	کوچبان	noun		m.	a coachman											cifra
cristão	0.06	क्रिस्तान	54	क्रिस्तान		NA	NA (Source: Dalgado); 		pt (Source: Dalgado) .		kristāna	کِرسٹان	noun	(Delhi Hindi) IPA(key): /kɾɪs.t̪ɑːn/, [kɾɪs.t̪ä̃ːn]	m. or f.	christian	religion	religion	practices, beliefs and rituals								coronel
cruz	0.82	क्रूस	735	क्रूस		cruz	cruz (Source: Dalgado)	cruz (Source: Dalgado)	itc-pro *kruk(-i)-? (Source: de Vaan) > la crux 'wooden frame, cross' (Source: de Vaan) > pt cruz (Source: Dalgado) .		krūsa	⁧کْرُوس⁩	noun	(Delhi Hindi) IPA(key): /kɾuːs/	m.	the cross on which Jesus Christ was crucified & crucifix, cross	religion	religion	practices, beliefs and rituals	masc cons-stem	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो	couve
igreja	0.68	गिरजा	609	गिरजा		igreja	igreja (Source: Dalgado)	igreja (Source: Dalgado)	pt igreja (Source: Dalgado) .		girajā	⁧گِرْجا⁩	noun	(Delhi Hindi) IPA(key): /ɡɪɾ.d͡ʒɑː/, [ɡɪɾ.d͡ʒäː]	m.	church & chapel	religion	religion	religious buildings	masc ā-stem	गिरजा	गिरजे	गिरजे	गिरजे	गिरजों	गिरजो	holandês
gudão		गोदाम	11830	गोदाम		gudão	gudão (Source: Dalgado); Bengali gudām https://en.wiktionary.org/wiki/%E0%A6%97%E0%A7%81%E0%A6%A6%E0%A6%BE%E0%A6%AE#Bengali (Source: Wiktionary, McGregor)	gudão (Source: Dalgado); Bengali gudām  (Source: Wiktionary, McGregor)	pt gudão (Source: Dalgado) | pt gudão ‘godown' (Source: Wiktionary) >  bn গুদাম ‘godown, warehouse' (Source: Wiktionary, McGregor) .	Bengali gudām https://en.wiktionary.org/wiki/%E0%A6%97%E0%A7%81%E0%A6%A6%E0%A6%BE%E0%A6%AE#Bengali (Source: Wiktionary, McGregor)	godām	گودام	noun		m.	storage, godown											forma
