मार्तोल	mārtol	noun								
मस्तूल	mastūla	noun	m.							
मिस्तरी	mistarī	noun	m.							
अक्तूबर	aktūbara	noun	m.							
पादरी	pādarī	noun	m.		पादरी	पादरी	पादरी	पादरी	पादरियों	पादरियो
पीपा	pīpā	noun	m.	cylinder, barrel, cask	पीपा	पीपे	पीपे	पीपे	पीपों	पीपो
पिस्तौल	pistaula	noun	f.	pistol, gun	पिस्तौल	पिस्तौल	पिस्तौल	पिस्तौलें	पिस्तौलों	पिस्तौलो
बंबा	bambā	noun	m.	pump; water pump	बंबा	बंबे	बंबे	बंबे	बंबों	बंबो
बंबा	bambā	noun	m.	channel, narrow river, creek	बंबा	बंबे	बंबे	बंबे	बंबों	बंबो
साया	sāyā	noun	m.	petticoat	साया	साए, साये	साए, साये	साए, साये	सायों	सायो
सालसा	sālasā	noun	m.	Indian sarsparilla						
सितंबर	sitambara		m.							
तौलिया	tauliyā	noun	m.	towel	तौलिया	तौलिए, तौलिये	तौलिए, तौलिये	तौलिए, तौलिये	तौलियों	तौलियो
बरामदा	barāmadā	noun	m.	verandah	बरामदा	बरामदे	बरामदे	बरामदे	बरामदों	बरामदो
